"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Piafabec",21,"Piafabec","spearow",0.3,2,40,60,30,31,31,70,262,255,70,"Normal~Flying","Normal","Flying","rough-terrain","brown","wings","medium","4","0","0","0",FALSE,NA,8,"1",15,NA
"Rapasdepic",22,"Rapasdepic","fearow",1.19,38,65,90,65,61,61,100,442,90,70,"Normal~Flying","Normal","Flying","rough-terrain","brown","wings","medium","4","0","0","0",TRUE,21,8,"1",15,NA
"Abo",23,"Abo","ekans",2.01,6.9,35,60,44,40,54,55,288,255,70,"Poison","Poison",NA,"grassland","purple","squiggle","medium","4","0","0","0",FALSE,NA,9,"1",20,54
"Arbok",24,"Arbok","arbok",3.51,65,60,85,69,65,79,80,438,90,70,"Poison","Poison",NA,"grassland","purple","squiggle","medium","4","0","0","0",TRUE,23,9,"1",20,55
"Pikachu",25,"Pikachu","pikachu",0.41,6,35,55,30,50,40,90,300,190,70,"Electric","Electric",NA,"forest","yellow","quadruped","medium","4","1","0","0",FALSE,172,10,"1",10,16
"Raichu",26,"Raichu","raichu",0.79,30,60,90,55,90,80,100,475,75,70,"Electric","Electric",NA,"forest","yellow","upright","medium","4","1","0","0",TRUE,25,10,"1",10,17
"Sabelette",27,"Sabelette","sandshrew",0.61,12,50,75,85,20,30,40,300,255,70,"Ground","Ground",NA,"rough-terrain","yellow","upright","medium","4","0","0","0",FALSE,NA,11,"1",20,NA
"Sablaireau",28,"Sablaireau","sandslash",0.99,29.5,75,100,110,45,55,65,450,90,70,"Ground","Ground",NA,"rough-terrain","yellow","upright","medium","4","0","0","0",TRUE,27,11,"1",20,NA
"Nidoran<U+2640>",29,"Nidoran<U+2640>","nidoran-f",0.41,7,55,47,52,40,40,41,275,235,70,"Poison","Poison",NA,"grassland","blue","quadruped","medium-slow","8","0","0","0",FALSE,NA,12,"1",20,NA
"Nidorina",30,"Nidorina","nidorina",0.79,20,70,62,67,55,55,56,365,120,70,"Poison","Poison",NA,"grassland","blue","quadruped","medium-slow","8","0","0","0",FALSE,29,12,"1",20,NA
"Nidoqueen",31,"Nidoqueen","nidoqueen",1.3,60,90,82,87,75,85,76,495,45,70,"Poison~Ground","Poison","Ground","grassland","blue","upright","medium-slow","8","0","0","0",TRUE,30,12,"1",20,NA
"Nidoran<U+2642>",32,"Nidoran<U+2642>","nidoran-m",0.51,9,46,57,40,40,40,50,273,235,70,"Poison","Poison",NA,"grassland","purple","quadruped","medium-slow","0","0","0","0",FALSE,NA,13,"1",20,NA
"Nidorino",33,"Nidorino","nidorino",0.89,19.5,61,72,57,55,55,65,365,120,70,"Poison","Poison",NA,"grassland","purple","quadruped","medium-slow","0","0","0","0",FALSE,32,13,"1",20,NA
"Nidoking",34,"Nidoking","nidoking",1.4,62,81,92,77,85,75,85,495,45,70,"Poison~Ground","Poison","Ground","grassland","purple","upright","medium-slow","0","0","0","0",TRUE,33,13,"1",20,NA
"Mélofée",35,"Mélofée","clefairy",0.61,7.5,70,45,48,60,65,35,323,150,140,"Fairy","Fairy",NA,"mountain","pink","upright","fast","6","0","0","0",FALSE,173,14,"1",10,NA
"Mélodelfe",36,"Mélodelfe","clefable",1.3,40,95,70,73,85,90,60,473,25,140,"Fairy","Fairy",NA,"mountain","pink","upright","fast","6","0","0","0",TRUE,35,14,"1",10,NA
"Goupix",37,"Goupix","vulpix",0.61,9.9,38,41,40,50,65,65,299,190,70,"Fire","Fire",NA,"grassland","brown","quadruped","medium","6","0","0","0",FALSE,NA,15,"1",20,NA
"Feunard",38,"Feunard","ninetales",1.09,19.9,73,76,75,81,100,100,505,75,70,"Fire","Fire",NA,"grassland","yellow","quadruped","medium","6","0","0","0",TRUE,37,15,"1",20,NA
"Rondoudou",39,"Rondoudou","jigglypuff",0.51,5.5,115,45,20,45,25,20,270,170,70,"Normal~Fairy","Normal","Fairy","grassland","pink","humanoid","fast","6","0","0","0",FALSE,174,16,"1",10,21
"Grodoudou",40,"Grodoudou","wigglytuff",0.99,12,140,70,45,75,50,45,425,50,70,"Normal~Fairy","Normal","Fairy","grassland","pink","humanoid","fast","6","0","0","0",TRUE,39,16,"1",10,22
"Nosferapti",41,"Nosferapti","zubat",0.79,7.5,40,45,35,30,40,55,245,255,70,"Poison~Flying","Poison","Flying","cave","purple","wings","medium","4","1","0","0",FALSE,NA,17,"1",15,23
"Nosferalto",42,"Nosferalto","golbat",1.6,55,75,80,70,65,75,90,455,90,70,"Poison~Flying","Poison","Flying","cave","purple","wings","medium","4","1","0","0",FALSE,41,17,"1",15,24
"Mystherbe",43,"Mystherbe","oddish",0.51,5.4,45,50,55,75,65,30,320,255,70,"Grass~Poison","Grass","Poison","grassland","blue","legs","medium-slow","4","0","0","0",FALSE,NA,18,"1",20,NA
"Ortide",44,"Ortide","gloom",0.79,8.6,60,65,70,85,75,40,395,120,70,"Grass~Poison","Grass","Poison","grassland","blue","humanoid","medium-slow","4","1","0","0",FALSE,43,18,"1",20,NA
"Rafflesia",45,"Rafflesia","vileplume",1.19,18.6,75,80,85,100,90,50,480,45,70,"Grass~Poison","Grass","Poison","grassland","red","humanoid","medium-slow","4","1","0","0",TRUE,44,18,"1",20,NA
"Paras",46,"Paras","paras",0.3,5.4,35,70,55,45,55,25,285,190,70,"Bug~Grass","Bug","Grass","forest","red","armor","medium","4","0","0","0",FALSE,NA,19,"1",20,NA
"Parasect",47,"Parasect","parasect",0.99,29.5,60,95,80,60,80,30,405,75,70,"Bug~Grass","Bug","Grass","forest","red","armor","medium","4","0","0","0",TRUE,46,19,"1",20,NA
"Mimitoss",48,"Mimitoss","venonat",0.99,30,60,55,50,40,55,45,305,190,70,"Bug~Poison","Bug","Poison","forest","purple","humanoid","medium","4","0","0","0",FALSE,NA,20,"1",20,NA
"Aéromite",49,"Aéromite","venomoth",1.5,12.5,70,65,60,90,75,90,450,75,70,"Bug~Poison","Bug","Poison","forest","purple","bug-wings","medium","4","0","0","0",TRUE,48,20,"1",20,NA
"Taupiqueur",50,"Taupiqueur","diglett",0.2,0.8,10,55,25,35,45,95,265,255,70,"Ground","Ground",NA,"cave","brown","blob","medium","4","0","0","0",FALSE,NA,21,"1",20,NA
"Triopikeur",51,"Triopikeur","dugtrio",0.71,33.3,35,80,50,50,70,120,405,50,70,"Ground","Ground",NA,"cave","brown","heads","medium","4","0","0","0",TRUE,50,21,"1",20,NA
"Miaouss",52,"Miaouss","meowth",0.41,4.2,40,45,35,40,40,90,290,255,70,"Normal","Normal",NA,"urban","yellow","quadruped","medium","4","0","0","0",FALSE,NA,22,"1",20,58
"Persian",53,"Persian","persian",0.99,32,65,70,60,65,65,115,440,90,70,"Normal","Normal",NA,"urban","yellow","quadruped","medium","4","0","0","0",TRUE,52,22,"1",20,59
"Psykokwak",54,"Psykokwak","psyduck",0.79,19.6,50,52,48,65,50,55,320,190,70,"Water","Water",NA,"waters-edge","yellow","upright","medium","4","0","0","0",FALSE,NA,23,"1",20,NA
"Akwakwak",55,"Akwakwak","golduck",1.7,76.6,80,82,78,95,80,85,500,75,70,"Water","Water",NA,"waters-edge","blue","upright","medium","4","0","0","0",TRUE,54,23,"1",20,NA
"Férosinge",56,"Férosinge","mankey",0.51,28,40,80,35,35,45,70,305,190,70,"Fighting","Fighting",NA,"mountain","brown","upright","medium","4","0","0","0",FALSE,NA,24,"1",20,NA
"Colossinge",57,"Colossinge","primeape",0.99,32,65,105,60,60,70,95,455,75,70,"Fighting","Fighting",NA,"mountain","brown","upright","medium","4","0","0","0",TRUE,56,24,"1",20,NA
"Caninos",58,"Caninos","growlithe",0.71,19,55,70,45,70,50,60,350,190,70,"Fire","Fire",NA,"grassland","brown","quadruped","slow","2","0","0","0",FALSE,NA,25,"1",20,NA
"Arcanin",59,"Arcanin","arcanine",1.91,155,90,110,80,100,80,95,555,75,70,"Fire","Fire",NA,"grassland","brown","quadruped","slow","2","0","0","0",TRUE,58,25,"1",20,NA
"Ptitard",60,"Ptitard","poliwag",0.61,12.4,40,50,40,40,40,90,300,255,70,"Water","Water",NA,"waters-edge","blue","legs","medium-slow","4","0","0","0",FALSE,NA,26,"1",20,NA
"Têtarte",61,"Têtarte","poliwhirl",0.99,20,65,65,65,50,50,90,385,120,70,"Water","Water",NA,"waters-edge","blue","humanoid","medium-slow","4","0","0","0",FALSE,60,26,"1",20,NA
"Tartard",62,"Tartard","poliwrath",1.3,54,90,85,95,70,90,70,500,45,70,"Water~Fighting","Water","Fighting","waters-edge","blue","humanoid","medium-slow","4","0","0","0",TRUE,61,26,"1",20,NA
"Abra",63,"Abra","abra",0.89,19.5,25,20,15,105,55,90,310,200,70,"Psychic","Psychic",NA,"urban","brown","upright","medium-slow","2","0","0","0",FALSE,NA,27,"1",20,127
"Kadabra",64,"Kadabra","kadabra",1.3,56.5,40,35,30,120,70,105,400,100,70,"Psychic","Psychic",NA,"urban","brown","upright","medium-slow","2","1","0","0",FALSE,63,27,"1",20,128
"Alakazam",65,"Alakazam","alakazam",1.5,48,55,50,45,135,85,120,490,50,70,"Psychic","Psychic",NA,"urban","brown","humanoid","medium-slow","2","1","0","0",TRUE,64,27,"1",20,129
"Machoc",66,"Machoc","machop",0.79,19.5,70,80,50,35,35,35,305,180,70,"Fighting","Fighting",NA,"mountain","gray","upright","medium-slow","2","0","0","0",FALSE,NA,28,"1",20,98
"Machopeur",67,"Machopeur","machoke",1.5,70.5,80,100,70,50,60,45,405,90,70,"Fighting","Fighting",NA,"mountain","gray","humanoid","medium-slow","2","0","0","0",FALSE,66,28,"1",20,99
"Mackogneur",68,"Mackogneur","machamp",1.6,130,90,130,80,65,85,55,505,45,70,"Fighting","Fighting",NA,"mountain","gray","humanoid","medium-slow","2","0","0","0",TRUE,67,28,"1",20,100
"Chétiflor",69,"Chétiflor","bellsprout",0.71,4,50,75,35,70,30,40,300,255,70,"Grass~Poison","Grass","Poison","forest","green","humanoid","medium-slow","4","0","0","0",FALSE,NA,29,"1",20,NA
"Boustiflor",70,"Boustiflor","weepinbell",0.99,6.4,65,90,50,85,45,55,390,120,70,"Grass~Poison","Grass","Poison","forest","green","blob","medium-slow","4","0","0","0",FALSE,69,29,"1",20,NA
"Empiflor",71,"Empiflor","victreebel",1.7,15.5,80,105,65,100,60,70,480,45,70,"Grass~Poison","Grass","Poison","forest","green","blob","medium-slow","4","0","0","0",TRUE,70,29,"1",20,NA
"Tentacool",72,"Tentacool","tentacool",0.89,45.5,40,40,35,50,100,70,335,190,70,"Water~Poison","Water","Poison","sea","blue","tentacles","slow","4","0","0","0",FALSE,NA,30,"1",20,NA
"Tentacruel",73,"Tentacruel","tentacruel",1.6,55,80,70,65,80,120,100,515,60,70,"Water~Poison","Water","Poison","sea","blue","tentacles","slow","4","0","0","0",TRUE,72,30,"1",20,NA
"Racaillou",74,"Racaillou","geodude",0.41,20,40,80,100,30,30,20,300,255,70,"Rock~Ground","Rock","Ground","mountain","brown","arms","medium-slow","4","0","0","0",FALSE,NA,31,"1",15,NA
"Gravalanch",75,"Gravalanch","graveler",0.99,105,55,95,115,45,45,35,390,120,70,"Rock~Ground","Rock","Ground","mountain","brown","humanoid","medium-slow","4","0","0","0",FALSE,74,31,"1",15,NA
"Grolem",76,"Grolem","golem",1.4,300,80,110,130,55,65,45,485,45,70,"Rock~Ground","Rock","Ground","mountain","brown","humanoid","medium-slow","4","0","0","0",TRUE,75,31,"1",15,NA
"Ponyta",77,"Ponyta","ponyta",0.99,30,50,85,55,65,65,90,410,190,70,"Fire","Fire",NA,"grassland","yellow","quadruped","medium","4","0","0","0",FALSE,NA,32,"1",20,NA
"Galopa",78,"Galopa","rapidash",1.7,95,65,100,70,80,80,105,500,60,70,"Fire","Fire",NA,"grassland","yellow","quadruped","medium","4","0","0","0",TRUE,77,32,"1",20,NA
"Ramoloss",79,"Ramoloss","slowpoke",1.19,36,90,65,65,40,40,15,315,190,70,"Water~Psychic","Water","Psychic","waters-edge","pink","quadruped","medium","4","0","0","0",FALSE,NA,33,"1",20,NA
"Flagadoss",80,"Flagadoss","slowbro",1.6,78.5,95,75,110,100,80,30,490,75,70,"Water~Psychic","Water","Psychic","waters-edge","pink","upright","medium","4","0","0","0",TRUE,79,33,"1",20,NA
"Magnéti",81,"Magnéti","magnemite",0.3,6,25,35,70,95,55,45,325,190,70,"Electric~Steel","Electric","Steel","rough-terrain","gray","arms","medium","-1","0","0","0",FALSE,NA,34,"1",20,NA
"Magnéton",82,"Magnéton","magneton",0.99,60,50,60,95,120,70,70,465,60,70,"Electric~Steel","Electric","Steel","rough-terrain","gray","heads","medium","-1","0","0","0",FALSE,81,34,"1",20,NA
"Canarticho",83,"Canarticho","farfetchd",0.79,15,52,65,55,58,62,60,352,45,70,"Normal~Flying","Normal","Flying","grassland","brown","wings","medium","4","0","0","0",TRUE,NA,35,"1",20,NA
"Doduo",84,"Doduo","doduo",1.4,39.2,35,85,45,35,35,75,310,190,70,"Normal~Flying","Normal","Flying","grassland","brown","legs","medium","4","1","0","0",FALSE,NA,36,"1",20,NA
"Dodrio",85,"Dodrio","dodrio",1.8,85.2,60,110,70,60,60,100,460,45,70,"Normal~Flying","Normal","Flying","grassland","brown","legs","medium","4","1","0","0",TRUE,84,36,"1",20,NA
"Otaria",86,"Otaria","seel",1.09,90,65,45,55,45,70,45,325,190,70,"Water","Water",NA,"sea","white","fish","medium","4","0","0","0",FALSE,NA,37,"1",20,NA
"Lamantine",87,"Lamantine","dewgong",1.7,120,90,70,80,70,95,70,475,75,70,"Water~Ice","Water","Ice","sea","white","fish","medium","4","0","0","0",TRUE,86,37,"1",20,NA
"Tadmorv",88,"Tadmorv","grimer",0.89,30,80,80,50,40,50,25,325,190,70,"Poison","Poison",NA,"urban","purple","arms","medium","4","0","0","0",FALSE,NA,38,"1",20,NA
"Grotadmorv",89,"Grotadmorv","muk",1.19,30,105,105,75,65,100,50,500,75,70,"Poison","Poison",NA,"urban","purple","arms","medium","4","0","0","0",TRUE,88,38,"1",20,NA
"Kokiyas",90,"Kokiyas","shellder",0.3,4,30,65,100,45,25,40,305,190,70,"Water","Water",NA,"sea","purple","ball","slow","4","0","0","0",FALSE,NA,39,"1",20,NA
"Crustabri",91,"Crustabri","cloyster",1.5,132.5,50,95,180,85,45,70,525,60,70,"Water~Ice","Water","Ice","sea","purple","ball","slow","4","0","0","0",TRUE,90,39,"1",20,NA
"Fantominus",92,"Fantominus","gastly",1.3,0.1,30,35,30,100,35,80,310,190,70,"Ghost~Poison","Ghost","Poison","cave","purple","ball","medium-slow","4","0","0","0",FALSE,NA,40,"1",20,112
"Spectrum",93,"Spectrum","haunter",1.6,0.1,45,50,45,115,55,95,405,90,70,"Ghost~Poison","Ghost","Poison","cave","purple","arms","medium-slow","4","0","0","0",FALSE,92,40,"1",20,113
"Ectoplasma",94,"Ectoplasma","gengar",1.5,40.5,60,65,60,130,75,110,500,45,70,"Ghost~Poison","Ghost","Poison","cave","purple","upright","medium-slow","4","0","0","0",TRUE,93,40,"1",20,114
"Onix",95,"Onix","onix",8.79,210,35,45,160,30,45,70,385,45,70,"Rock~Ground","Rock","Ground","cave","gray","squiggle","medium","4","0","0","0",FALSE,NA,41,"1",25,175
"Soporifik",96,"Soporifik","drowzee",0.99,32.4,60,48,45,43,90,42,328,190,70,"Psychic","Psychic",NA,"grassland","yellow","humanoid","medium","4","0","0","0",FALSE,NA,42,"1",20,NA
"Hypnomade",97,"Hypnomade","hypno",1.6,75.6,85,73,70,73,115,67,483,75,70,"Psychic","Psychic",NA,"grassland","yellow","humanoid","medium","4","1","0","0",TRUE,96,42,"1",20,NA
"Krabby",98,"Krabby","krabby",0.41,6.5,30,105,90,25,25,50,325,225,70,"Water","Water",NA,"waters-edge","red","armor","medium","4","0","0","0",FALSE,NA,43,"1",20,NA
"Krabboss",99,"Krabboss","kingler",1.3,60,55,130,115,50,50,75,475,60,70,"Water","Water",NA,"waters-edge","red","armor","medium","4","0","0","0",TRUE,98,43,"1",20,NA
"Voltorbe",100,"Voltorbe","voltorb",0.51,10.4,40,30,50,55,55,100,330,190,70,"Electric","Electric",NA,"urban","red","ball","medium","-1","0","0","0",FALSE,NA,44,"1",20,NA
"Électrode",101,"Électrode","electrode",1.19,66.6,60,50,70,80,80,140,480,60,70,"Electric","Electric",NA,"urban","red","ball","medium","-1","0","0","0",TRUE,100,44,"1",20,NA
"Nœunœuf",102,"Nœunœuf","exeggcute",0.41,2.5,60,40,80,60,45,40,325,90,70,"Grass~Psychic","Grass","Psychic","forest","pink","heads","slow","4","0","0","0",FALSE,NA,45,"1",20,NA
"Noadkoko",103,"Noadkoko","exeggutor",2.01,120,95,95,85,125,65,55,520,45,70,"Grass~Psychic","Grass","Psychic","forest","yellow","legs","slow","4","0","0","0",TRUE,102,45,"1",20,NA
"Osselait",104,"Osselait","cubone",0.41,6.5,50,50,95,40,50,35,320,190,70,"Ground","Ground",NA,"mountain","brown","upright","medium","4","0","0","0",FALSE,NA,46,"1",20,NA
"Ossatueur",105,"Ossatueur","marowak",0.99,45,60,80,110,50,80,45,425,75,70,"Ground","Ground",NA,"mountain","brown","upright","medium","4","0","0","0",TRUE,104,46,"1",20,NA
"Kicklee",106,"Kicklee","hitmonlee",1.5,49.8,50,120,53,35,110,87,455,45,70,"Fighting","Fighting",NA,"urban","brown","humanoid","medium","0","0","0","0",TRUE,236,47,"1",25,NA
"Tygnon",107,"Tygnon","hitmonchan",1.4,50.2,50,105,79,35,110,76,455,45,70,"Fighting","Fighting",NA,"urban","brown","humanoid","medium","0","0","0","0",TRUE,236,47,"1",25,NA
"Excelangue",108,"Excelangue","lickitung",1.19,65.5,90,55,75,60,75,30,385,45,70,"Normal","Normal",NA,"grassland","pink","upright","medium","4","0","0","0",FALSE,NA,48,"1",20,NA
"Smogo",109,"Smogo","koffing",0.61,1,40,65,95,60,45,35,340,190,70,"Poison","Poison",NA,"urban","purple","ball","medium","4","0","0","0",FALSE,NA,49,"1",20,NA
"Smogogo",110,"Smogogo","weezing",1.19,9.5,65,90,120,85,70,60,490,60,70,"Poison","Poison",NA,"urban","purple","heads","medium","4","0","0","0",TRUE,109,49,"1",20,NA
"Rhinocorne",111,"Rhinocorne","rhyhorn",0.99,115,80,85,95,30,30,25,345,120,70,"Ground~Rock","Ground","Rock","rough-terrain","gray","quadruped","slow","4","1","0","0",FALSE,NA,50,"1",20,160
"Rhinoféros",112,"Rhinoféros","rhydon",1.91,120,105,130,120,45,45,40,485,60,70,"Ground~Rock","Ground","Rock","rough-terrain","gray","upright","slow","4","1","0","0",FALSE,111,50,"1",20,161
"Leveinard",113,"Leveinard","chansey",1.09,34.6,250,5,5,35,105,50,450,30,140,"Normal","Normal",NA,"urban","pink","upright","fast","8","0","0","0",FALSE,440,51,"1",40,NA
"Saquedeneu",114,"Saquedeneu","tangela",0.99,35,65,55,115,100,40,60,435,45,70,"Grass","Grass",NA,"grassland","blue","legs","medium","4","0","0","0",FALSE,NA,52,"1",20,NA
"Kangourex",115,"Kangourex","kangaskhan",2.21,80,105,95,80,40,80,90,490,45,70,"Normal","Normal",NA,"grassland","brown","upright","medium","8","0","0","0",TRUE,NA,53,"1",20,NA
"Hypotrempe",116,"Hypotrempe","horsea",0.41,8,30,40,70,70,25,60,295,225,70,"Water","Water",NA,"sea","blue","blob","medium","4","0","0","0",FALSE,NA,54,"1",20,NA
"Hypocéan",117,"Hypocéan","seadra",1.19,25,55,65,95,95,45,85,440,75,70,"Water","Water",NA,"sea","blue","blob","medium","4","0","0","0",FALSE,116,54,"1",20,NA
"Poissirène",118,"Poissirène","goldeen",0.61,15,45,67,60,35,50,63,320,225,70,"Water","Water",NA,"waters-edge","red","fish","medium","4","1","0","0",FALSE,NA,55,"1",20,NA
"Poissoroy",119,"Poissoroy","seaking",1.3,39,80,92,65,65,80,68,450,60,70,"Water","Water",NA,"waters-edge","red","fish","medium","4","1","0","0",TRUE,118,55,"1",20,NA
"Stari",120,"Stari","staryu",0.79,34.5,30,45,55,70,55,85,340,225,70,"Water","Water",NA,"sea","brown","blob","slow","-1","0","0","0",FALSE,NA,56,"1",20,NA
"Staross",121,"Staross","starmie",1.09,80,60,75,85,100,85,115,520,60,70,"Water~Psychic","Water","Psychic","sea","purple","blob","slow","-1","0","0","0",TRUE,120,56,"1",20,NA
"M. Mime",122,"M. Mime","mr-mime",1.3,54.5,40,45,65,100,120,90,460,45,70,"Psychic~Fairy","Psychic","Fairy","urban","pink","humanoid","medium","4","0","0","0",TRUE,439,57,"1",25,NA
"Insécateur",123,"Insécateur","scyther",1.5,56,70,110,80,55,80,105,500,45,70,"Bug~Flying","Bug","Flying","grassland","green","bug-wings","medium","4","1","0","0",TRUE,NA,58,"1",25,188
"Lippoutou",124,"Lippoutou","jynx",1.4,40.6,65,50,35,115,95,95,455,45,70,"Ice~Psychic","Ice","Psychic","urban","red","humanoid","medium","8","0","0","0",TRUE,238,59,"1",25,NA
"Élektek",125,"Élektek","electabuzz",1.09,30,65,83,57,95,85,105,490,45,70,"Electric","Electric",NA,"grassland","yellow","upright","medium","2","0","0","0",FALSE,239,60,"1",25,NA
"Magmar",126,"Magmar","magmar",1.3,44.5,65,95,57,100,85,93,495,45,70,"Fire","Fire",NA,"mountain","red","upright","medium","2","0","0","0",FALSE,240,61,"1",25,NA
"Scarabrute",127,"Scarabrute","pinsir",1.5,55,65,125,100,55,70,85,500,45,70,"Bug","Bug",NA,"forest","brown","humanoid","slow","4","0","0","0",TRUE,NA,62,"1",25,NA
"Tauros",128,"Tauros","tauros",1.4,88.4,75,100,95,40,70,110,490,45,70,"Normal","Normal",NA,"grassland","brown","quadruped","slow","0","0","0","0",TRUE,NA,63,"1",20,NA
"Magicarpe",129,"Magicarpe","magikarp",0.89,10,20,10,55,15,20,80,200,255,70,"Water","Water",NA,"waters-edge","red","fish","slow","4","1","0","0",FALSE,NA,64,"1",5,13
"Léviator",130,"Léviator","gyarados",6.5,235,95,125,79,60,100,81,540,45,70,"Water~Flying","Water","Flying","waters-edge","blue","squiggle","slow","4","1","0","0",TRUE,129,64,"1",5,14
"Lokhlass",131,"Lokhlass","lapras",2.49,220,130,85,80,85,95,60,535,45,70,"Water~Ice","Water","Ice","sea","blue","fish","slow","4","0","0","0",TRUE,NA,65,"1",40,190
"Métamorph",132,"Métamorph","ditto",0.3,4,48,48,48,48,48,48,288,35,70,"Normal","Normal",NA,"urban","purple","ball","medium","-1","0","0","0",TRUE,NA,66,"1",20,NA
"Évoli",133,"Évoli","eevee",0.3,6.5,55,55,50,45,65,55,325,45,70,"Normal","Normal",NA,"urban","brown","quadruped","medium","1","0","0","0",FALSE,NA,67,"1",35,1
"Aquali",134,"Aquali","vaporeon",0.99,29,130,65,60,110,95,65,525,45,70,"Water","Water",NA,"urban","blue","quadruped","medium","1","0","0","0",TRUE,133,67,"1",35,2
"Voltali",135,"Voltali","jolteon",0.79,24.5,65,65,60,110,95,130,525,45,70,"Electric","Electric",NA,"urban","yellow","quadruped","medium","1","0","0","0",TRUE,133,67,"1",35,3
